Unit_ID,Complex,Dong,Ho,Floor,L_Score,C_Score,S_Score,Total_Grade,Status
U1-101-1205,1단지,101동,1205호,12,6.3,7.0,8.0,C,전수조사완료
U1-101-1301,1단지,101동,1301호,13,6.4,7.0,7.0,C,전수조사완료
U1-101-1302,1단지,101동,1302호,13,6.4,7.0,7.0,C,전수조사완료
U1-101-1303,1단지,101동,1303호,13,6.4,7.0,7.0,C,전수조사완료
U1-101-1304,1단지,101동,1304호,13,6.4,7.0,7.0,C,전수조사완료
U1-101-1305,1단지,101동,1305호,13,6.4,7.0,7.0,C,전수조사완료
U1-101-1401,1단지,101동,1401호,14,6.5,7.0,7.0,C,전수조사완료
U1-101-1402,1단지,101동,1402호,14,6.5,7.0,7.0,C,전수조사완료
U1-101-1403,1단지,101동,1403호,14,6.5,7.0,7.2,C,전수조사완료
U1-101-1404,1단지,101동,1404호,14,6.5,7.0,7.0,C,전수조사완료
U1-101-1405,1단지,101동,1405호,14,6.5,7.0,7.0,C,전수조사완료
U1-101-1501,1단지,101동,1501호,15,6.6,7.0,7.0,C,전수조사완료
U1-101-1502,1단지,101동,1502호,15,6.6,7.0,7.0,C,전수조사완료
U1-101-1503,1단지,101동,1503호,15,6.6,7.0,7.0,C,전수조사완료
U1-101-1504,1단지,101동,1504호,15,6.6,7.0,8.2,B,전수조사완료
U1-101-1505,1단지,101동,1505호,15,6.6,7.0,7.0,C,전수조사완료
U1-101-1601,1단지,101동,1601호,16,6.7,7.0,8.2,B,전수조사완료
U1-101-1602,1단지,101동,1602호,16,6.7,7.0,7.0,C,전수조사완료
U1-101-1603,1단지,101동,1603호,16,6.7,7.0,7.0,C,전수조사완료
U1-101-1604,1단지,101동,1604호,16,6.7,7.0,7.0,C,전수조사완료
U1-101-1605,1단지,101동,1605호,16,6.7,7.0,7.0,C,전수조사완료
U1-101-1701,1단지,101동,1701호,17,6.8,7.0,7.0,C,전수조사완료
U1-101-1702,1단지,101동,1702호,17,6.8,7.0,7.0,C,전수조사완료
U1-101-1703,1단지,101동,1703호,17,6.8,7.0,7.0,C,전수조사완료
U1-101-1704,1단지,101동,1704호,17,6.8,7.0,7.0,C,전수조사완료
U1-101-1705,1단지,101동,1705호,17,6.8,7.0,7.0,C,전수조사완료
U1-101-1801,1단지,101동,1801호,18,6.9,7.0,7.2,C,전수조사완료
U1-101-1802,1단지,101동,1802호,18,6.9,7.0,7.0,C,전수조사완료
U1-101-1803,1단지,101동,1803호,18,6.9,7.0,7.0,C,전수조사완료
U1-101-1804,1단지,101동,1804호,18,6.9,7.0,7.0,C,전수조사완료
U1-101-1805,1단지,101동,1805호,18,6.9,7.0,7.0,C,전수조사완료
U1-101-1901,1단지,101동,1901호,19,7.0,7.0,7.0,B,전수조사완료
U1-101-1902,1단지,101동,1902호,19,7.0,7.0,7.0,B,전수조사완료
U1-101-1903,1단지,101동,1903호,19,7.0,7.0,7.0,B,전수조사완료
U1-101-1904,1단지,101동,1904호,19,7.0,7.0,7.0,B,전수조사완료
U1-101-1905,1단지,101동,1905호,19,7.0,7.0,7.0,B,전수조사완료
U1-101-2001,1단지,101동,2001호,20,7.1,7.0,7.0,B,전수조사완료
U1-101-2002,1단지,101동,2002호,20,7.1,7.0,7.0,B,전수조사완료
U1-101-2003,1단지,101동,2003호,20,7.1,7.0,8.0,B,전수조사완료
U1-101-2004,1단지,101동,2004호,20,7.1,7.0,7.0,B,전수조사완료
U1-101-2005,1단지,101동,2005호,20,7.1,7.0,7.0,B,전수조사완료
U1-101-2101,1단지,101동,2101호,21,7.2,7.0,7.0,B,전수조사완료
U1-101-2102,1단지,101동,2102호,21,7.2,7.0,7.0,B,전수조사완료
U1-101-2103,1단지,101동,2103호,21,7.2,7.0,7.0,B,전수조사완료
U1-101-2104,1단지,101동,2104호,21,7.2,7.0,7.0,B,전수조사완료
U1-101-2105,1단지,101동,2105호,21,7.2,7.0,7.0,B,전수조사완료
U1-101-2201,1단지,101동,2201호,22,7.4,7.0,7.0,B,전수조사완료
U1-101-2202,1단지,101동,2202호,22,7.4,7.0,7.0,B,전수조사완료
U1-101-2203,1단지,101동,2203호,22,7.4,7.0,7.0,B,전수조사완료
U1-101-2204,1단지,101동,2204호,22,7.4,7.0,7.2,B,전수조사완료
U1-101-2205,1단지,101동,2205호,22,7.4,7.0,8.2,B,전수조사완료
U1-101-2301,1단지,101동,2301호,23,7.5,7.0,7.0,B,전수조사완료
U1-101-2302,1단지,101동,2302호,23,7.5,7.0,7.0,B,전수조사완료
U1-101-2303,1단지,101동,2303호,23,7.5,7.0,7.0,B,전수조사완료
U1-101-2304,1단지,101동,2304호,23,7.5,7.0,7.0,B,전수조사완료
U1-101-2305,1단지,101동,2305호,23,7.5,7.0,7.0,B,전수조사완료
U1-101-2401,1단지,101동,2401호,24,7.6,7.0,7.0,B,전수조사완료
U1-101-2402,1단지,101동,2402호,24,7.6,7.0,7.0,B,전수조사완료
U1-101-2403,1단지,101동,2403호,24,7.6,7.0,8.0,B+,전수조사완료
U1-101-2404,1단지,101동,2404호,24,7.6,7.0,7.0,B,전수조사완료
U1-101-2405,1단지,101동,2405호,24,7.6,7.0,7.0,B,전수조사완료
U1-101-2501,1단지,101동,2501호,25,7.7,7.0,7.0,B,전수조사완료
U1-101-2502,1단지,101동,2502호,25,7.7,7.0,7.0,B,전수조사완료
U1-101-2503,1단지,101동,2503호,25,7.7,7.0,7.0,B,전수조사완료
U1-101-2504,1단지,101동,2504호,25,7.7,7.0,7.0,B,전수조사완료
U1-101-2505,1단지,101동,2505호,25,7.7,7.0,7.0,B,전수조사완료
U1-101-2601,1단지,101동,2601호,26,7.8,7.0,7.0,B,전수조사완료
U1-101-2602,1단지,101동,2602호,26,7.8,7.0,8.2,B+,전수조사완료
U1-101-2603,1단지,101동,2603호,26,7.8,7.0,7.0,B,전수조사완료
U1-101-2604,1단지,101동,2604호,26,7.8,7.0,7.0,B,전수조사완료
U1-101-2605,1단지,101동,2605호,26,7.8,7.0,7.0,B,전수조사완료
U1-101-2701,1단지,101동,2701호,27,7.9,7.0,7.0,B,전수조사완료
U1-101-2702,1단지,101동,2702호,27,7.9,7.0,7.0,B,전수조사완료
U1-101-2703,1단지,101동,2703호,27,7.9,7.0,8.2,B+,전수조사완료
U1-101-2704,1단지,101동,2704호,27,7.9,7.0,7.0,B,전수조사완료
U1-101-2705,1단지,101동,2705호,27,7.9,7.0,7.0,B,전수조사완료
U1-101-2801,1단지,101동,2801호,28,8.0,7.0,7.0,B+,전수조사완료
U1-101-2802,1단지,101동,2802호,28,8.0,7.0,7.0,B+,전수조사완료
U1-101-2803,1단지,101동,2803호,28,8.0,7.0,7.0,B+,전수조사완료
U1-101-2804,1단지,101동,2804호,28,8.0,7.0,7.0,B+,전수조사완료
U1-101-2805,1단지,101동,2805호,28,8.0,7.0,7.0,B+,전수조사완료
U1-101-2901,1단지,101동,2901호,29,8.1,7.0,7.0,B+,전수조사완료
U1-101-2902,1단지,101동,2902호,29,8.1,7.0,7.0,B+,전수조사완료
U1-101-2903,1단지,101동,2903호,29,8.1,7.0,7.0,B+,전수조사완료
U1-101-2904,1단지,101동,2904호,29,8.1,7.0,7.0,B+,전수조사완료
U1-101-2905,1단지,101동,2905호,29,8.1,7.0,7.0,B+,전수조사완료
U1-101-3001,1단지,101동,3001호,30,8.2,7.0,7.0,B+,전수조사완료
U1-101-3002,1단지,101동,3002호,30,8.2,7.0,7.0,B+,전수조사완료
U1-101-3003,1단지,101동,3003호,30,8.2,7.0,7.0,B+,전수조사완료
U1-101-3004,1단지,101동,3004호,30,8.2,7.0,7.0,B+,전수조사완료
U1-101-3005,1단지,101동,3005호,30,8.2,7.0,7.0,B+,전수조사완료
U1-101-3101,1단지,101동,3101호,31,8.3,7.0,7.0,B+,전수조사완료
U1-101-3102,1단지,101동,3102호,31,8.3,7.0,7.0,B+,전수조사완료
U1-101-3103,1단지,101동,3103호,31,8.3,7.0,7.0,B+,전수조사완료
U1-101-3104,1단지,101동,3104호,31,8.3,7.0,7.0,B+,전수조사완료
U1-101-3105,1단지,101동,3105호,31,8.3,7.0,7.0,B+,전수조사완료
U1-101-3201,1단지,101동,3201호,32,8.4,7.0,7.0,B+,전수조사완료
U1-101-3202,1단지,101동,3202호,32,8.4,7.0,7.0,B+,전수조사완료
U1-101-3203,1단지,101동,3203호,32,8.4,7.0,7.0,B+,전수조사완료
U1-101-3204,1단지,101동,3204호,32,8.4,7.0,7.0,B+,전수조사완료
U1-101-3205,1단지,101동,3205호,32,8.4,7.0,7.0,B+,전수조사완료
U1-101-3301,1단지,101동,3301호,33,8.5,7.0,7.2,B+,전수조사완료
U1-101-3302,1단지,101동,3302호,33,8.5,7.0,7.0,B+,전수조사완료
U1-101-3303,1단지,101동,3303호,33,8.5,7.0,7.0,B+,전수조사완료
U1-101-3304,1단지,101동,3304호,33,8.5,7.0,7.0,B+,전수조사완료
U1-101-3305,1단지,101동,3305호,33,8.5,7.0,7.0,B+,전수조사완료
U1-101-3401,1단지,101동,3401호,34,8.6,7.0,7.0,B+,전수조사완료
U1-101-3402,1단지,101동,3402호,34,8.6,7.0,7.0,B+,전수조사완료
U1-101-3403,1단지,101동,3403호,34,8.6,7.0,7.0,B+,전수조사완료
U1-101-3404,1단지,101동,3404호,34,8.6,7.0,7.0,B+,전수조사완료
U1-101-3405,1단지,101동,3405호,34,8.6,7.0,7.2,B+,전수조사완료
U1-101-3501,1단지,101동,3501호,35,8.8,7.0,8.0,A,전수조사완료
U1-101-3502,1단지,101동,3502호,35,8.8,7.0,7.0,B+,전수조사완료
U1-101-3503,1단지,101동,3503호,35,8.8,7.0,7.0,B+,전수조사완료
U1-101-3504,1단지,101동,3504호,35,8.8,7.0,7.0,B+,전수조사완료
U1-101-3505,1단지,101동,3505호,35,8.8,7.0,7.0,B+,전수조사완료
U1-101-3601,1단지,101동,3601호,36,8.9,7.0,7.0,B+,전수조사완료
U1-101-3602,1단지,101동,3602호,36,8.9,7.0,8.0,A,전수조사완료
U1-101-3603,1단지,101동,3603호,36,8.9,7.0,7.0,B+,전수조사완료
U1-101-3604,1단지,101동,3604호,36,8.9,7.0,8.0,A,전수조사완료
U1-101-3605,1단지,101동,3605호,36,8.9,7.0,7.0,B+,전수조사완료
U1-101-3703,1단지,101동,3703호,37,9.0,7.0,7.0,A,전수조사완료
U1-101-3704,1단지,101동,3704호,37,9.0,7.0,7.0,A,전수조사완료
U1-101-3705,1단지,101동,3705호,37,9.0,7.0,8.0,A,전수조사완료
U1-101-3803,1단지,101동,3803호,38,9.1,7.0,8.2,A,전수조사완료
U1-101-3804,1단지,101동,3804호,38,9.1,7.0,7.0,A,전수조사완료
U1-101-3805,1단지,101동,3805호,38,9.1,7.0,8.0,A,전수조사완료
U1-101-3903,1단지,101동,3903호,39,9.2,7.0,7.0,A,전수조사완료
U1-101-3904,1단지,101동,3904호,39,9.2,7.0,7.0,A,전수조사완료
U1-101-3905,1단지,101동,3905호,39,9.2,7.0,7.0,A,전수조사완료
U1-101-4003,1단지,101동,4003호,40,9.3,7.0,7.0,A,전수조사완료
U1-101-4004,1단지,101동,4004호,40,9.3,7.0,7.0,A,전수조사완료
U1-101-4005,1단지,101동,4005호,40,9.3,7.0,8.0,A,전수조사완료
U1-102-201,1단지,102동,201호,2,5.2,7.0,7.0,C,전수조사완료
U1-102-202,1단지,102동,202호,2,5.2,7.0,7.2,C,전수조사완료
U1-102-203,1단지,102동,203호,2,5.2,7.0,7.0,C,전수조사완료
U1-102-204,1단지,102동,204호,2,5.2,7.0,7.0,C,전수조사완료
U1-102-301,1단지,102동,301호,3,5.3,7.0,7.0,C,전수조사완료
U1-102-302,1단지,102동,302호,3,5.3,7.0,7.0,C,전수조사완료
U1-102-303,1단지,102동,303호,3,5.3,7.0,7.2,C,전수조사완료
U1-102-304,1단지,102동,304호,3,5.3,7.0,7.0,C,전수조사완료
U1-102-401,1단지,102동,401호,4,5.4,7.0,7.0,C,전수조사완료
U1-102-402,1단지,102동,402호,4,5.4,7.0,7.0,C,전수조사완료
U1-102-403,1단지,102동,403호,4,5.4,7.0,7.0,C,전수조사완료
U1-102-404,1단지,102동,404호,4,5.4,7.0,8.0,C,전수조사완료
U1-102-501,1단지,102동,501호,5,5.5,7.0,7.0,C,전수조사완료
U1-102-502,1단지,102동,502호,5,5.5,7.0,7.0,C,전수조사완료
U1-102-503,1단지,102동,503호,5,5.5,7.0,7.2,C,전수조사완료
U1-102-504,1단지,102동,504호,5,5.5,7.0,7.0,C,전수조사완료
U1-102-601,1단지,102동,601호,6,5.6,7.0,8.0,C,전수조사완료
U1-102-602,1단지,102동,602호,6,5.6,7.0,7.0,C,전수조사완료
U1-102-603,1단지,102동,603호,6,5.6,7.0,8.0,C,전수조사완료
U1-102-604,1단지,102동,604호,6,5.6,7.0,7.0,C,전수조사완료
U1-102-701,1단지,102동,701호,7,5.8,7.0,8.2,C,전수조사완료
U1-102-702,1단지,102동,702호,7,5.8,7.0,7.0,C,전수조사완료
U1-102-703,1단지,102동,703호,7,5.8,7.0,7.0,C,전수조사완료
U1-102-704,1단지,102동,704호,7,5.8,7.0,7.2,C,전수조사완료
U1-102-801,1단지,102동,801호,8,5.9,7.0,7.0,C,전수조사완료
U1-102-802,1단지,102동,802호,8,5.9,7.0,7.0,C,전수조사완료
U1-102-803,1단지,102동,803호,8,5.9,7.0,7.2,C,전수조사완료
U1-102-804,1단지,102동,804호,8,5.9,7.0,7.0,C,전수조사완료
U1-102-901,1단지,102동,901호,9,6.0,7.0,7.2,C,전수조사완료
U1-102-902,1단지,102동,902호,9,6.0,7.0,7.0,C,전수조사완료
U1-102-903,1단지,102동,903호,9,6.0,7.0,7.0,C,전수조사완료
U1-102-904,1단지,102동,904호,9,6.0,7.0,7.0,C,전수조사완료
U1-102-1001,1단지,102동,1001호,10,6.1,7.0,7.0,C,전수조사완료
U1-102-1002,1단지,102동,1002호,10,6.1,7.0,7.0,C,전수조사완료
U1-102-1003,1단지,102동,1003호,10,6.1,7.0,8.0,C,전수조사완료
U1-102-1004,1단지,102동,1004호,10,6.1,7.0,7.0,C,전수조사완료
U1-102-1101,1단지,102동,1101호,11,6.2,7.0,7.0,C,전수조사완료
U1-102-1102,1단지,102동,1102호,11,6.2,7.0,7.0,C,전수조사완료
U1-102-1103,1단지,102동,1103호,11,6.2,7.0,7.0,C,전수조사완료
U1-102-1104,1단지,102동,1104호,11,6.2,7.0,7.0,C,전수조사완료
U1-102-1201,1단지,102동,1201호,12,6.3,7.0,7.0,C,전수조사완료
U1-102-1202,1단지,102동,1202호,12,6.3,7.0,7.0,C,전수조사완료
U1-102-1203,1단지,102동,1203호,12,6.3,7.0,7.0,C,전수조사완료
U1-102-1204,1단지,102동,1204호,12,6.3,7.0,7.0,C,전수조사완료
U1-102-1301,1단지,102동,1301호,13,6.4,7.0,7.0,C,전수조사완료
U1-102-1302,1단지,102동,1302호,13,6.4,7.0,7.0,C,전수조사완료
U1-102-1303,1단지,102동,1303호,13,6.4,7.0,7.0,C,전수조사완료
U1-102-1304,1단지,102동,1304호,13,6.4,7.0,7.0,C,전수조사완료
U1-102-1401,1단지,102동,1401호,14,6.5,7.0,7.2,C,전수조사완료
U1-102-1402,1단지,102동,1402호,14,6.5,7.0,8.2,C,전수조사완료
U1-102-1403,1단지,102동,1403호,14,6.5,7.0,7.0,C,전수조사완료
U1-102-1404,1단지,102동,1404호,14,6.5,7.0,7.0,C,전수조사완료
U1-102-1501,1단지,102동,1501호,15,6.6,7.0,7.0,C,전수조사완료
U1-102-1502,1단지,102동,1502호,15,6.6,7.0,8.0,B,전수조사완료
U1-102-1503,1단지,102동,1503호,15,6.6,7.0,7.0,C,전수조사완료
U1-102-1504,1단지,102동,1504호,15,6.6,7.0,8.2,B,전수조사완료
U1-102-1601,1단지,102동,1601호,16,6.7,7.0,7.0,C,전수조사완료
U1-102-1602,1단지,102동,1602호,16,6.7,7.0,7.0,C,전수조사완료
U1-102-1603,1단지,102동,1603호,16,6.7,7.0,7.0,C,전수조사완료
U1-102-1604,1단지,102동,1604호,16,6.7,7.0,7.0,C,전수조사완료
U1-102-1701,1단지,102동,1701호,17,6.8,7.0,7.0,C,전수조사완료
U1-102-1702,1단지,102동,1702호,17,6.8,7.0,7.0,C,전수조사완료
U1-102-1703,1단지,102동,1703호,17,6.8,7.0,7.0,C,전수조사완료
U1-102-1704,1단지,102동,1704호,17,6.8,7.0,8.2,B,전수조사완료
U1-102-1801,1단지,102동,1801호,18,6.9,7.0,7.0,C,전수조사완료
U1-102-1802,1단지,102동,1802호,18,6.9,7.0,7.0,C,전수조사완료
U1-102-1803,1단지,102동,1803호,18,6.9,7.0,8.2,B,전수조사완료
U1-102-1804,1단지,102동,1804호,18,6.9,7.0,7.0,C,전수조사완료
U1-102-1901,1단지,102동,1901호,19,7.0,7.0,7.0,B,전수조사완료
U1-102-1902,1단지,102동,1902호,19,7.0,7.0,7.0,B,전수조사완료
U1-102-1903,1단지,102동,1903호,19,7.0,7.0,7.0,B,전수조사완료
U1-102-1904,1단지,102동,1904호,19,7.0,7.0,7.0,B,전수조사완료
U1-102-2001,1단지,102동,2001호,20,7.1,7.0,7.0,B,전수조사완료
U1-102-2002,1단지,102동,2002호,20,7.1,7.0,7.0,B,전수조사완료
U1-102-2003,1단지,102동,2003호,20,7.1,7.0,8.2,B,전수조사완료
U1-102-2004,1단지,102동,2004호,20,7.1,7.0,7.0,B,전수조사완료
U1-102-2101,1단지,102동,2101호,21,7.2,7.0,7.0,B,전수조사완료
U1-102-2102,1단지,102동,2102호,21,7.2,7.0,7.0,B,전수조사완료
U1-102-2103,1단지,102동,2103호,21,7.2,7.0,7.0,B,전수조사완료
U1-102-2104,1단지,102동,2104호,21,7.2,7.0,7.0,B,전수조사완료
U1-102-2201,1단지,102동,2201호,22,7.4,7.0,7.0,B,전수조사완료
U1-102-2202,1단지,102동,2202호,22,7.4,7.0,7.0,B,전수조사완료
U1-102-2203,1단지,102동,2203호,22,7.4,7.0,7.0,B,전수조사완료
U1-102-2204,1단지,102동,2204호,22,7.4,7.0,7.0,B,전수조사완료
U1-102-2301,1단지,102동,2301호,23,7.5,7.0,7.0,B,전수조사완료
U1-102-2302,1단지,102동,2302호,23,7.5,7.0,7.0,B,전수조사완료
U1-102-2303,1단지,102동,2303호,23,7.5,7.0,7.0,B,전수조사완료
U1-102-2304,1단지,102동,2304호,23,7.5,7.0,7.0,B,전수조사완료
U1-102-2401,1단지,102동,2401호,24,7.6,7.0,7.0,B,전수조사완료
U1-102-2402,1단지,102동,2402호,24,7.6,7.0,7.0,B,전수조사완료
U1-102-2403,1단지,102동,2403호,24,7.6,7.0,7.0,B,전수조사완료
U1-102-2404,1단지,102동,2404호,24,7.6,7.0,7.0,B,전수조사완료
U1-102-2501,1단지,102동,2501호,25,7.7,7.0,7.0,B,전수조사완료
U1-102-2502,1단지,102동,2502호,25,7.7,7.0,7.0,B,전수조사완료
U1-102-2503,1단지,102동,2503호,25,7.7,7.0,7.0,B,전수조사완료
U1-102-2504,1단지,102동,2504호,25,7.7,7.0,7.0,B,전수조사완료
U1-102-2601,1단지,102동,2601호,26,7.8,7.0,8.0,B+,전수조사완료
U1-102-2602,1단지,102동,2602호,26,7.8,7.0,8.0,B+,전수조사완료
U1-102-2603,1단지,102동,2603호,26,7.8,7.0,8.0,B+,전수조사완료
U1-102-2604,1단지,102동,2604호,26,7.8,7.0,7.0,B,전수조사완료
U1-102-2701,1단지,102동,2701호,27,7.9,7.0,7.0,B,전수조사완료
U1-102-2702,1단지,102동,2702호,27,7.9,7.0,7.0,B,전수조사완료
U1-102-2703,1단지,102동,2703호,27,7.9,7.0,7.2,B,전수조사완료
U1-102-2704,1단지,102동,2704호,27,7.9,7.0,7.0,B,전수조사완료
U1-103-101,1단지,103동,101호,1,5.1,7.0,7.0,C,전수조사완료
U1-103-104,1단지,103동,104호,1,5.1,7.0,7.0,C,전수조사완료
U1-103-201,1단지,103동,201호,2,5.2,7.0,7.0,C,전수조사완료
U1-103-204,1단지,103동,204호,2,5.2,7.0,7.0,C,전수조사완료
U1-103-301,1단지,103동,301호,3,5.3,7.0,7.0,C,전수조사완료
U1-103-302,1단지,103동,302호,3,5.3,7.0,7.0,C,전수조사완료
U1-103-303,1단지,103동,303호,3,5.3,7.0,7.0,C,전수조사완료
U1-103-304,1단지,103동,304호,3,5.3,7.0,7.0,C,전수조사완료
U1-103-401,1단지,103동,401호,4,5.4,7.0,7.2,C,전수조사완료
U1-103-402,1단지,103동,402호,4,5.4,7.0,7.0,C,전수조사완료
U1-103-403,1단지,103동,403호,4,5.4,7.0,7.0,C,전수조사완료
U1-103-404,1단지,103동,404호,4,5.4,7.0,7.0,C,전수조사완료
U1-103-501,1단지,103동,501호,5,5.5,7.0,7.0,C,전수조사완료
U1-103-502,1단지,103동,502호,5,5.5,7.0,7.0,C,전수조사완료
U1-103-503,1단지,103동,503호,5,5.5,7.0,7.2,C,전수조사완료
U1-103-504,1단지,103동,504호,5,5.5,7.0,7.0,C,전수조사완료
U1-103-601,1단지,103동,601호,6,5.6,7.0,7.0,C,전수조사완료
U1-103-602,1단지,103동,602호,6,5.6,7.0,7.0,C,전수조사완료
U1-103-603,1단지,103동,603호,6,5.6,7.0,7.2,C,전수조사완료
U1-103-604,1단지,103동,604호,6,5.6,7.0,7.0,C,전수조사완료
U1-103-701,1단지,103동,701호,7,5.8,7.0,7.0,C,전수조사완료
U1-103-702,1단지,103동,702호,7,5.8,7.0,7.0,C,전수조사완료
U1-103-703,1단지,103동,703호,7,5.8,7.0,7.0,C,전수조사완료
U1-103-704,1단지,103동,704호,7,5.8,7.0,8.2,C,전수조사완료
U1-103-801,1단지,103동,801호,8,5.9,7.0,7.0,C,전수조사완료
U1-103-802,1단지,103동,802호,8,5.9,7.0,7.0,C,전수조사완료
U1-103-803,1단지,103동,803호,8,5.9,7.0,8.0,C,전수조사완료
U1-103-804,1단지,103동,804호,8,5.9,7.0,8.2,C,전수조사완료
U1-103-901,1단지,103동,901호,9,6.0,7.0,7.0,C,전수조사완료
U1-103-902,1단지,103동,902호,9,6.0,7.0,7.0,C,전수조사완료
U1-103-903,1단지,103동,903호,9,6.0,7.0,7.0,C,전수조사완료
U1-103-904,1단지,103동,904호,9,6.0,7.0,7.0,C,전수조사완료
U1-103-1001,1단지,103동,1001호,10,6.1,7.0,7.0,C,전수조사완료
U1-103-1002,1단지,103동,1002호,10,6.1,7.0,7.0,C,전수조사완료
U1-103-1003,1단지,103동,1003호,10,6.1,7.0,7.0,C,전수조사완료
U1-103-1004,1단지,103동,1004호,10,6.1,7.0,7.0,C,전수조사완료
U1-103-1101,1단지,103동,1101호,11,6.2,7.0,7.0,C,전수조사완료
U1-103-1102,1단지,103동,1102호,11,6.2,7.0,7.0,C,전수조사완료
U1-103-1103,1단지,103동,1103호,11,6.2,7.0,7.0,C,전수조사완료
U1-103-1104,1단지,103동,1104호,11,6.2,7.0,7.0,C,전수조사완료
U1-103-1201,1단지,103동,1201호,12,6.3,7.0,7.0,C,전수조사완료
U1-103-1202,1단지,103동,1202호,12,6.3,7.0,7.0,C,전수조사완료
